Series ID,Year,Period,Label,Value,,
CUSR0000SA0,2004,M01,2004 Jan,186.3,188.9083333,
CUSR0000SA0,2004,M02,2004 Feb,186.7,,
CUSR0000SA0,2004,M03,2004 Mar,187.1,,
CUSR0000SA0,2004,M04,2004 Apr,187.4,,
CUSR0000SA0,2004,M05,2004 May,188.2,,
CUSR0000SA0,2004,M06,2004 Jun,188.9,,
CUSR0000SA0,2004,M07,2004 Jul,189.1,,
CUSR0000SA0,2004,M08,2004 Aug,189.2,,
CUSR0000SA0,2004,M09,2004 Sep,189.8,,
CUSR0000SA0,2004,M10,2004 Oct,190.8,,
CUSR0000SA0,2004,M11,2004 Nov,191.7,,
CUSR0000SA0,2004,M12,2004 Dec,191.7,,
CUSR0000SA0,2005,M01,2005 Jan,191.6,195.2666667,3.37
CUSR0000SA0,2005,M02,2005 Feb,192.4,,
CUSR0000SA0,2005,M03,2005 Mar,193.1,,
CUSR0000SA0,2005,M04,2005 Apr,193.7,,
CUSR0000SA0,2005,M05,2005 May,193.6,,
CUSR0000SA0,2005,M06,2005 Jun,193.7,,
CUSR0000SA0,2005,M07,2005 Jul,194.9,,
CUSR0000SA0,2005,M08,2005 Aug,196.1,,
CUSR0000SA0,2005,M09,2005 Sep,198.8,,
CUSR0000SA0,2005,M10,2005 Oct,199.1,,
CUSR0000SA0,2005,M11,2005 Nov,198.1,,
CUSR0000SA0,2005,M12,2005 Dec,198.1,,
